bucket,recommended_action,url,slug,title,word_count,char_count,is_empty,is_thin,template_overlap_pct,template_near_dup,gsc_impressions_365d,gsc_clicks_365d,gsc_position_avg,gsc_ctr_pct,potential_score,h1_count,h1_first,http_status
M1,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/rehab-center-in-peekskill-ny,rehab-center-in-peekskill-ny,,857,5673,,,2.2,,9102,18,15.2,0.2,9192,0,,200
M1,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/superior-rehab-center-in-hughsonville-ny,superior-rehab-center-in-hughsonville-ny,,768,5608,,,2.4,,7612,6,10.9,0.08,7642,0,,200
M1,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/rehab-center-in-katonah-ny,rehab-center-in-katonah-ny,,970,6529,,,2.2,,6229,21,19.7,0.34,6334,0,,200
M1,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/high-quality-rehab-center-in-wappingers-falls-ny,high-quality-rehab-center-in-wappingers-falls-ny,,799,5520,,,2.8,,4929,15,16.3,0.3,5004,0,,200
M1,DEDUPE — templated near-dup with real traffic; differentiate or merge,https://www.armsacres.com/suburb/first-class-drug-and-alcohol-rehab-in-woodinville-ny,first-class-drug-and-alcohol-rehab-in-woodinville-ny,,579,4250,,,55.9,TRUE,4943,10,15.4,0.2,4993,0,,200
M1,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/rehab-center-in-southeast-ny,rehab-center-in-southeast-ny,,913,6314,,,2.7,,4602,9,18.9,0.2,4647,0,,200
M1,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/exceptional-rehab-center-in-new-hamburg-ny,exceptional-rehab-center-in-new-hamburg-ny,,707,5127,,,2.3,,4629,1,12.2,0.02,4634,0,,200
M1,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/putnam-valley-ny,putnam-valley-ny,,692,4759,,,2.6,,4438,22,11.9,0.5,4548,0,,200
M1,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/leading-rehabilitation-center-in-beacon-ny,leading-rehabilitation-center-in-beacon-ny,,425,3111,,,8.7,,4279,15,19.9,0.35,4354,0,,200
M1,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/rehab-center-in-bedford-hill-ny,rehab-center-in-bedford-hill-ny,,869,5811,,,2.4,,4995,15,23.5,0.3,3572,0,,200
M2,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/rehab-center-in-patterson-ny,rehab-center-in-patterson-ny,,903,6370,,,2.7,,3292,12,17.3,0.36,3352,0,,200
M2,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/yorktown-heights-ny,yorktown-heights-ny,,903,6330,,,2.1,,4097,22,20.9,0.54,2978,0,,200
M2,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/brewster-ny,brewster-ny,,861,6150,,,3.9,,2787,33,14.7,1.18,2952,0,,200
M2,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/local-addiction-rehab-in-field-corners-ny,local-addiction-rehab-in-field-corners-ny,,503,2911,,,6.9,,2431,0,8.9,,2431,0,,200
M2,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/top-rated-rehab-center-in-lincolndale-ny,top-rated-rehab-center-in-lincolndale-ny,,426,3188,,,5.1,,2416,3,11.9,0.12,2431,0,,200
M2,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/experienced-drug-rehab-center-in-montrose-ny,experienced-drug-rehab-center-in-montrose-ny,,686,4963,,,2.5,,2105,6,19.9,0.28,2135,0,,200
M2,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/rehab-center-in-north-salem-ny,rehab-center-in-north-salem-ny,,910,6241,,,2.8,,2756,13,26.4,0.47,1994,0,,200
M2,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/expert-rehab-center-in-lake-carmel-ny,expert-rehab-center-in-lake-carmel-ny,,525,3805,,,9.5,,1877,3,17.4,0.16,1892,0,,200
M2,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/trusted-rehabilitation-center-in-hopewell-junction-ny,trusted-rehabilitation-center-in-hopewell-junction-ny,,413,2992,,,9.0,,1523,13,15.4,0.85,1588,0,,200
M2,"OPTIMIZE — high-potential, light refresh + internal links",https://www.armsacres.com/suburb/reliable-rehabilitation-center-in-fishkill-ny,reliable-rehabilitation-center-in-fishkill-ny,,415,3033,,,6.7,,1934,13,38.6,0.67,1419,0,,200
