page,week_start,clicks,impressions,position_avg,ctr_pct
https://www.miaphotobooth.net/,2026-02-09,13,1463,17.08,0.889
https://www.miaphotobooth.net/,2026-02-16,17,1546,15.92,1.1
https://www.miaphotobooth.net/,2026-02-23,20,2424,11.7,0.825
https://www.miaphotobooth.net/,2026-03-02,11,2223,10.03,0.495
https://www.miaphotobooth.net/,2026-03-09,2,1044,10.19,0.192
https://www.miaphotobooth.net/,2026-03-16,10,1379,9.36,0.725
https://www.miaphotobooth.net/,2026-03-23,11,1388,12.12,0.793
https://www.miaphotobooth.net/,2026-03-30,12,1581,15.24,0.759
https://www.miaphotobooth.net/,2026-04-06,7,1225,13.01,0.571
https://www.miaphotobooth.net/,2026-04-13,6,1210,13.08,0.496
https://www.miaphotobooth.net/,2026-04-20,4,1099,16.87,0.364
https://www.miaphotobooth.net/,2026-04-27,2,4504,9.2,0.044
https://www.miaphotobooth.net/,2026-05-04,8,4201,8.47,0.19
https://www.miaphotobooth.net/,2026-05-11,6,3880,10.24,0.155
https://www.miaphotobooth.net/,2026-05-18,4,866,15.28,0.462
https://www.miaphotobooth.net/,2026-05-25,0,523,18.57,0.0
https://www.miaphotobooth.net/360-photo-booth,2026-02-09,0,91,11.23,0.0
https://www.miaphotobooth.net/360-photo-booth,2026-02-16,0,108,19.66,0.0
https://www.miaphotobooth.net/360-photo-booth,2026-02-23,0,79,14.23,0.0
https://www.miaphotobooth.net/360-photo-booth,2026-03-02,0,65,9.82,0.0
https://www.miaphotobooth.net/360-photo-booth,2026-03-09,0,88,12.29,0.0
https://www.miaphotobooth.net/360-photo-booth,2026-03-16,0,70,12.22,0.0
https://www.miaphotobooth.net/360-photo-booth,2026-03-23,1,71,10.25,1.408
https://www.miaphotobooth.net/360-photo-booth,2026-03-30,0,100,11.69,0.0
https://www.miaphotobooth.net/360-photo-booth,2026-04-06,0,62,8.16,0.0
https://www.miaphotobooth.net/360-photo-booth,2026-04-13,1,44,8.46,2.273
https://www.miaphotobooth.net/360-photo-booth,2026-04-20,0,27,8.38,0.0
https://www.miaphotobooth.net/360-photo-booth,2026-04-27,0,37,11.47,0.0
https://www.miaphotobooth.net/360-photo-booth,2026-05-04,0,60,13.39,0.0
https://www.miaphotobooth.net/360-photo-booth,2026-05-11,0,35,7.97,0.0
https://www.miaphotobooth.net/360-photo-booth,2026-05-18,0,45,8.74,0.0
https://www.miaphotobooth.net/360-photo-booth,2026-05-25,0,25,8.37,0.0
https://www.miaphotobooth.net/?utm_source=gmb&utm_medium=click&utm_campaign=gmb_listing,2026-02-09,3,168,3.23,1.786
