query,clicks,impressions,position_avg,ctr_pct
social photo booth rental miami,0,13777,5.0,0.0
glam photo booth miami,0,6529,15.46,0.0
photo booth rental miami,33,6172,11.07,0.535
photo strip size,161,5812,2.49,2.77
photobooth strip size,80,5378,2.69,1.488
photo booth,13,4921,19.22,0.264
photobooth size,63,4321,2.89,1.458
photo booth miami,35,2830,6.76,1.237
photobooth,7,2817,18.56,0.248
photo booth rental,41,2524,6.4,1.624
photo booth size,53,2050,3.75,2.585
size of photobooth strip,20,1936,2.11,1.033
photostrip size,16,1714,2.14,0.933
miami photo booth rental,12,1649,11.34,0.728
photo booth strip size,29,1572,2.59,1.845
360 photo booth rental miami,3,1519,13.3,0.197
photobooth picture size,61,1494,2.48,4.083
photostrip size photobooth,15,1381,2.98,1.086
photo strip dimensions,28,1172,2.94,2.389
photo booth picture size,37,1092,3.05,3.388
photo booth miami rental,4,1058,9.7,0.378
what are photo booth pictures called,1,997,2.29,0.1
miami photo booth,35,950,4.41,3.684
what size is a photo booth strip,6,940,1.97,0.638
size of photo booth strips,7,928,2.55,0.754
photobooth size in cm,4,918,2.83,0.436
photo strips size,31,898,2.64,3.452
size of photo booth strips in cm,10,887,2.45,1.127
what size are photo booth strips,8,872,2.35,0.917
photo booth strip dimensions,17,844,2.37,2.014
photo booth photo size,54,837,2.43,6.452
mini photo strip size,9,823,3.35,1.094
photo booth dimensions,8,799,2.79,1.001
360 photo booth miami,0,783,17.24,0.0
how big is a photo booth strip,6,779,2.27,0.77
photo booth rental miami fl,2,763,10.08,0.262
ukuran strip photobooth,4,763,2.63,0.524
size of a photo booth strip,8,754,2.11,1.061
photo booth pictures,1,747,4.91,0.134
photobooth dimensions,3,742,5.59,0.404
photostrip,0,723,3.54,0.0
photobooth miami,6,709,9.61,0.846
photo strip size cm,5,688,2.73,0.727
photobooth photos,1,672,4.09,0.149
what is the size of a photo booth strip,18,630,2.07,2.857
dimensions of photo booth strip,18,628,2.23,2.866
photo booth props diy,1,619,28.63,0.162
photobooth paper size,16,593,1.56,2.698
photobooth photo size,43,584,1.72,7.363
photo booth rental near me,1,582,5.1,0.172
dimensions of a photo booth strip,18,581,1.98,3.098
photo booth rentals in miami,0,580,9.62,0.0
photostrip photobooth size,3,553,2.65,0.542
what are the photo booth pictures called,2,553,2.64,0.362
what are the dimensions of a photo booth strip,21,549,2.1,3.825
photo booth print size,28,542,2.24,5.166
size photobooth,30,536,1.07,5.597
photobooth strip dimensions,13,529,2.25,2.457
what are photo booth photos called,0,510,2.55,0.0
ukuran photobooth strip,0,509,3.06,0.0
how big are photo booth strips,4,493,2.32,0.811
strip photo size,18,490,1.79,3.673
what is the size of photobooth strip,4,465,2.92,0.86
photobooth pics,0,464,4.39,0.0
photobooth sizes,26,447,1.07,5.817
photobooth size picture,31,446,1.49,6.951
standard photo booth strip size,11,442,1.81,2.489
photobooth frame size,17,440,1.82,3.864
photobooth rental miami,4,431,10.34,0.928
miami photobooth,13,430,6.65,3.023
how long is a photo booth strip,2,428,2.34,0.467
photo booth photos,0,415,6.19,0.0
standard photo booth size,6,414,2.4,1.449
standard photobooth strip size,9,413,1.7,2.179
photobooth rental,6,394,7.47,1.523
photobooth strips size,8,386,1.92,2.073
party photo booth rental,0,385,1.51,0.0
photobooth size in inches,7,383,2.58,1.828
photo booth images,0,368,29.63,0.0
how to display photo booth strips,1,365,5.94,0.274
what size are photobooth strips,5,359,2.16,1.393
wedding photo booth miami,0,358,17.03,0.0
photo booth miami fl,0,356,10.16,0.0
photo booth rentals miami,1,354,10.22,0.282
photobooth size print,3,354,1.99,0.847
2x2 picture size,0,352,50.0,0.0
what do you call photo booth pictures,0,351,2.5,0.0
photo strip,0,351,6.71,0.0
photo booth in miami,3,348,10.94,0.862
360 photo booth rental,0,345,11.87,0.0
roamer photo booth,0,344,34.1,0.0
photo booth sizes,11,342,1.78,3.216
photo booth rentals,1,340,7.26,0.294
photo booth frame size,12,339,4.23,3.54
photo booth rental in miami,2,338,10.36,0.592
what are those photo booth pictures called,1,336,1.8,0.298
photostrip dimensions,4,336,1.94,1.19
360 photo booth pictures,0,327,10.86,0.0
photobooth picture,1,324,4.5,0.309
rent a photo booth,1,317,8.61,0.315
size of photo strip,5,312,1.88,1.603
what is the size of photo booth strips,4,311,2.05,1.286
how does a 360 photo booth work,0,310,37.74,0.0
photo booth near me,0,310,9.62,0.0
roamer booth,0,307,13.12,0.0
diy photo booth props,8,307,11.72,2.606
photo booth size prints,12,305,1.41,3.934
polaroid strip size,12,304,1.42,3.947
standard photo strip size,7,302,1.76,2.318
how long are photo booth strips,7,298,2.06,2.349
photo booth strips size,10,295,2.42,3.39
rent photo booth,2,292,10.48,0.685
photo booth picture size in cm,7,292,2.76,2.397
what do you call the photo booth pictures,1,277,1.63,0.361
photo booth rental miami florida,1,276,10.39,0.362
