business,oct_top10,apr_top10,delta_top10,oct_top3,apr_top3,delta_top3,rating,reviews,is_sp
Elevate Point - Alcohol & Drug Rehab NYC,0,127,127,0,0,0,5,25,False
LSA Recovery - Midwood,0,78,78,0,3,3,4.1,14,False
Realization Center,98,117,19,0,0,0,4.7,85,False
Genesis Detox of Brooklyn,118,136,18,9,12,3,3.5,62,False
Under Angel's Wings Recovery Center LLC,123,136,13,10,49,39,5,35,False
Dynamite Youth Center,7,18,11,0,2,2,4.5,40,False
Seek Counseling,1,9,8,0,0,0,5,16,False
The Safe Foundation,31,37,6,2,10,8,5,5,False
LSA Recovery - Crown Heights,0,5,5,0,0,0,4,4,False
"Surfpoint Recovery: Inpatient Drug & Alcohol Rehab & Detox In Brooklyn, NY",136,136,0,133,130,-3,4.8,119,True
"Detox & Drug/Alcohol Rehab Center In Brooklyn, New York At ACI Inpatient | Drug & Alcohol Rehab In New York",136,136,0,59,35,-24,3.7,68,False
"Spring Hill Wellness NY: Outpatient Addiction Treatment Program Brooklyn, New York",138,138,0,48,32,-16,,,False
Bridge Back To Life,5,0,-5,0,0,0,4.6,11,False
Our Place (Our Place NY),11,4,-7,0,0,0,4.4,42,False
Jovenes Brooklyn AA,60,40,-20,11,3,-8,4.5,20,False
Ascendant Detox Drug & Alcohol Rehab NYC,28,2,-26,0,0,0,4.8,282,False
Anchor House Inc.,136,82,-54,0,0,0,3.3,13,False
LSA Recovery,56,0,-56,0,0,0,4.1,14,False
Teen Challenge Inc.,132,11,-121,0,0,0,4,34,False
