domain,decision,reason,spam_score,backlinks,rank
seo-anomaly-s10.xyz,AUTO,spam_score=94; name pattern /^seo-anomaly-/; hard-spam TLD .xyz + spam_score=94; all-nofollow + spam_score=94 + rank=0,94,10,0
belonnanotservice.ga,AUTO,spam_score=85; hard-spam TLD .ga + spam_score=85,85,1,0
violationfunding.com,AUTO,spam_score=85,85,2,0
what-happens-next.xyz,AUTO,spam_score=85; hard-spam TLD .xyz + spam_score=85,85,1,0
seo-anomaly-s6.xyz,AUTO,spam_score=83; name pattern /^seo-anomaly-/; hard-spam TLD .xyz + spam_score=83; all-nofollow + spam_score=83 + rank=0,83,10,0
bhs-links-bg.xyz,AUTO,spam_score=82; name pattern /^bhs-links-/; hard-spam TLD .xyz + spam_score=82; all-nofollow + spam_score=82 + rank=0,82,36,0
bhs-links-fr.xyz,AUTO,spam_score=82; name pattern /^bhs-links-/; hard-spam TLD .xyz + spam_score=82; all-nofollow + spam_score=82 + rank=0,82,15,0
bhs-links-rt.xyz,AUTO,spam_score=82; name pattern /^bhs-links-/; hard-spam TLD .xyz + spam_score=82; all-nofollow + spam_score=82 + rank=0,82,37,0
bhs-links-yt.xyz,AUTO,spam_score=82; name pattern /^bhs-links-/; hard-spam TLD .xyz + spam_score=82; all-nofollow + spam_score=82 + rank=0,82,36,0
bhs-links-gb.xyz,AUTO,spam_score=81; name pattern /^bhs-links-/; hard-spam TLD .xyz + spam_score=81; all-nofollow + spam_score=81 + rank=0,81,30,0
appguri.com.br,AUTO,spam_score=80; all-nofollow + spam_score=80 + rank=0,80,2,0
seo-anomaly-s2.xyz,AUTO,spam_score=77; name pattern /^seo-anomaly-/; hard-spam TLD .xyz + spam_score=77; all-nofollow + spam_score=77 + rank=0,77,12,0
seo-anomaly-s8.xyz,AUTO,spam_score=77; name pattern /^seo-anomaly-/; hard-spam TLD .xyz + spam_score=77; all-nofollow + spam_score=77 + rank=0,77,12,0
seo-anomaly-s9.xyz,AUTO,spam_score=77; name pattern /^seo-anomaly-/; hard-spam TLD .xyz + spam_score=77; all-nofollow + spam_score=77 + rank=0,77,12,0
hps-plastering.co.uk,AUTO,spam_score=75; all-nofollow + spam_score=75 + rank=0,75,1,0
seo-anomaly-s7.xyz,AUTO,spam_score=75; name pattern /^seo-anomaly-/; hard-spam TLD .xyz + spam_score=75; all-nofollow + spam_score=75 + rank=0,75,1,0
australianwebdirectory.pro,AUTO,spam_score=70; name pattern /^australianwebdirectory\b/,70,1,0
australianwebdirectory.shop,AUTO,spam_score=70; name pattern /^australianwebdirectory\b/; soft-spam TLD .shop + spam_score=70,70,1,0
primebeautylounge.com,AUTO,spam_score=70; all-nofollow + spam_score=70 + rank=0,70,4,0
australianwebdirectory.info,AUTO,name pattern /^australianwebdirectory\b/; soft-spam TLD .info + spam_score=65; all-nofollow + spam_score=65 + rank=0,65,1,0
browseallexpireddomains.us,AUTO,name pattern /expireddomain/,65,1,0
