"url","adjusted_decision","type","topical","clicks_365","impressions_365","pos_365","clicks_90","impressions_90","pos_90","backlinks","ref_domains","reason"
"https://www.surfpointrecovery.com/blog/how-to-get-rid-of-alcohol-breath","NOINDEX (off-topic but traffic)","blog","off_topic","1278","433748","4.68","714","230925","5.77","0","0","decaying, trend -86%"
"https://www.surfpointrecovery.com/blog/rare-and-weird-phobias","NOINDEX (off-topic but traffic)","blog","off_topic","604","281568","3.99","245","86735","6.53","0","0","decaying, trend -85%"
"https://www.surfpointrecovery.com/blog/how-long-doxycycline-stays-in-your-system-what-you-need-to-know","NOINDEX (off-topic but traffic)","blog","off_topic","951","235631","5.859999999999999","382","97541","4.49","0","0","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/viagra-and-alcohol","NOINDEX (off-topic but traffic)","blog","off_topic","453","206874","17.25","311","106783","7.16","0","0","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/rappers-with-drug-addiction","NOINDEX (off-topic but traffic)","blog","off_topic","1708","145796","6.31","311","62521","5.27","0","0","blog needs evaluation"
"https://www.surfpointrecovery.com/blog/what-is-existential-crisis","NOINDEX","blog","off_topic","30","136620","31.11","12","57307","11.86","0","0","low-value, 30 clicks 365d"
"https://www.surfpointrecovery.com/blog/dangers-of-mixing-prednisone-alcohol","NOINDEX (off-topic but traffic)","blog","off_topic","122","134108","18.02","78","69151","11.71","0","0","decaying, trend -93%"
"https://www.surfpointrecovery.com/blog/what-is-claustrophobia","NOINDEX","blog","off_topic","37","93310","30.25","19","47377","10.92","0","0","low-value, 37 clicks 365d"
"https://www.surfpointrecovery.com/blog/melatonin-and-alcohol","NOINDEX","blog","off_topic","45","86466","18.56","18","35678","9.04","0","0","low-value, 45 clicks 365d"
"https://www.surfpointrecovery.com/blog/diflucan-and-alcohol","NOINDEX (off-topic but traffic)","blog","off_topic","102","85216","10.32","88","42112","5.13","0","0","decaying, trend -78%"
"https://www.surfpointrecovery.com/blog/valtrex-valacyclovir-alcohol","NOINDEX","blog","off_topic","24","44364","11.96","21","23289","4.29","0","0","low-value, 24 clicks 365d"
"https://www.surfpointrecovery.com/blog/antibiotics-and-alcohol","NOINDEX","blog","off_topic","3","36952","29.4","2","10342","20.09","0","0","high-imp low-CTR, 36,952 imp / 3 clicks"
"https://www.surfpointrecovery.com/blog/what-is-lean-drug","NOINDEX","blog","unclassified","4","35064","43.68","1","2725","26.63","0","0","high-imp low-CTR, 35,064 imp / 4 clicks"
"https://www.surfpointrecovery.com/blog/dangers-mixing-aspirin-alcohol","NOINDEX","blog","off_topic","9","26283","13.175","5","8030","7.105","0","0","high-imp low-CTR, 26,283 imp / 9 clicks"
"https://www.surfpointrecovery.com/blog/whats-a-mental-breakdown","NOINDEX","blog","unclassified","3","23420","46.9","2","3774","24.22","0","0","high-imp low-CTR, 23,420 imp / 3 clicks"
"https://www.surfpointrecovery.com/blog/what-is-iop","NOINDEX","blog","unclassified","4","22398","44.69","1","1718","20.65","0","0","high-imp low-CTR, 22,398 imp / 4 clicks"
"https://www.surfpointrecovery.com/blog/list-of-phobias-most-common-fears","NOINDEX","blog","off_topic","28","18139","21.745","18","7337","13.285","0","0","low-value, 28 clicks 365d"
"https://www.surfpointrecovery.com/blog/is-it-safe-to-mix-alcohol-tylenol-acetaminophen","NOINDEX","blog","off_topic","9","13641","22.04","3","7879","20.7","0","0","high-imp low-CTR, 13,641 imp / 9 clicks"
